battery_id,level_1,cycle,cha_Voltage_measured,cha_Current_measured,cha_Temperature_measured,cha_Current_charge,cha_Voltage_charge,cha_Time,cha_ambient_temperature,cha_SOH,cha_EOL_cycle,cha_RUL,cha_start_time,dis_Voltage_measured,dis_Current_measured,dis_Temperature_measured,dis_Current_load,dis_Voltage_load,dis_Time,dis_ambient_temperature,dis_SOH,dis_EOL_cycle,dis_RUL,dis_Capacity,dis_start_time,imp_ambient_temperature,imp_SOH,imp_EOL_cycle,imp_RUL,imp_Re,imp_Rct,imp_start_time,SOH_calculated,Resistance_Increase_Rate
B0005,0,1,4.187419504014827,0.6434546691871927,25.32407901830568,0.6384524714828897,4.359486692015209,2725.9524334600765,24.0,,101.0,100.0,2008-04-02 13:08:17,3.5298286688693397,-1.8187019641679725,32.572328114029,-1.805569543147208,2.404944162436548,1812.0874974619292,24.0,100.0,101.0,100.0,1.8564874208181572,2008-04-02 15:25:41,24.0,,101.0,100.0,0.04466870036616091,0.06945627304536996,2008-04-18 20:55:29,100.0,1.0
B0005,1,2,4.058826443375249,0.9490426727251162,26.63562262811608,0.9417617021276595,4.430904255319149,3685.339534042553,24.0,,101.0,99.0,2008-04-02 16:37:51,3.5373201277859705,-1.8175598506612867,32.72523522519307,-1.8045826530612243,2.3992602040816324,1803.1433724489798,24.0,99.45272071416716,101.0,99.0,1.8463272497199272,2008-04-02 19:43:48,24.0,,101.0,99.0,0.04668700162486933,0.07627474098530587,2008-04-18 22:39:16,99.45272071416717,1.0451837918310556
B0005,2,3,4.058138828852896,0.9505286974657303,26.778175507896705,0.9431141942369263,4.402618996798292,3665.6367865528277,24.0,,101.0,98.0,2008-04-02 20:55:40,3.5437367282719,-1.8164865418840956,32.64286193755933,-1.8035753846153846,2.3979692307692306,1793.8093794871795,24.0,98.86138595081705,101.0,98.0,1.8353491942234077,2008-04-03 00:01:06,24.0,,101.0,98.0,0.04484343057334609,0.0679720560130687,2008-04-19 02:14:27,98.86138595081707,1.0039116922084785
B0005,3,4,4.058904789088504,0.9523115206216739,26.70320405781683,0.9447352625937835,4.418978563772776,3636.451544480172,24.0,,101.0,97.0,2008-04-03 01:12:38,3.5436661072601456,-1.8255891938692528,32.514876462048825,-1.8128628865979382,2.4082886597938145,1784.3594278350515,24.0,98.85671763794173,101.0,97.0,1.8352625275821128,2008-04-03 04:16:37,24.0,,101.0,97.0,0.04619468955099374,0.07453388918437964,2008-04-19 03:57:24,98.85671763794174,1.0341623815406291
B0005,4,5,4.058329981003973,0.9477284862498987,26.617004288392,0.9403607257203842,4.364055496264674,3666.7736456776947,24.0,,101.0,96.0,2008-04-03 05:27:49,3.5423432526672167,-1.8261139590277584,32.38234901543077,-1.8128762886597938,2.408505154639175,1783.5013505154639,24.0,98.82348178817772,101.0,96.0,1.8346455082120419,2008-04-03 08:33:25,24.0,,101.0,96.0,0.04510114851143001,0.06852832896000328,2008-04-19 07:32:33,98.82348178817773,1.0096812341018253
B0005,5,6,4.059785107501149,0.9326606943848299,26.51849450408942,0.9256123949579832,4.326279411764706,3774.646442226891,24.0,,101.0,95.0,2008-04-03 09:44:35,3.5413347346347575,-1.8168108743168805,32.43418218230641,-1.8036564102564103,2.3962512820512822,1793.4977589743592,24.0,98.87821697485944,101.0,95.0,1.8356616600675495,2008-04-03 12:55:10,24.0,,101.0,95.0,0.04599074473076839,0.07342664108773311,2008-04-19 09:15:10,98.87821697485944,1.029596660609562
B0005,6,7,4.058914241429766,0.9322724824266048,26.620706323978894,0.9251428571428572,4.287875,3776.138970588235,24.0,,101.0,94.0,2008-04-03 14:06:43,3.5410250495075206,-1.816791144707133,32.48041644475799,-1.803620512820513,2.394646153846154,1792.8422461538462,24.0,98.85044855913476,101.0,94.0,1.8351461429226603,2008-04-03 17:17:16,24.0,,101.0,94.0,0.04417207557717175,0.06804449516996176,2008-04-19 12:47:00,98.85044855913478,0.9888820407820644
B0005,7,8,4.053425643583467,0.9653291698755071,26.737918888901717,0.9578858695652174,4.4560641304347826,3542.7558000000004,24.0,,101.0,93.0,2008-04-03 18:28:47,3.554133296801585,-1.8443412120754061,32.41046186109587,-1.8308837696335079,2.434628272251309,1756.5707643979058,24.0,98.34468955151549,101.0,93.0,1.8257567905665537,2008-04-03 21:28:14,24.0,,101.0,93.0,0.0452171085992494,0.07464778408413367,2008-04-19 14:28:58,98.3446895515155,1.0122772372733713
B0005,8,9,4.055637707823975,0.9616213808811537,26.741457030661458,0.9542204125950055,4.410529858849077,3547.597802388708,24.0,,101.0,92.0,2008-04-03 22:38:27,3.5529355991467946,-1.853972745505648,32.34614083129999,-1.8405052631578946,2.4485105263157894,1745.8955684210525,24.0,98.29174345738103,101.0,92.0,1.824773852989133,2008-04-04 01:38:15,24.0,,101.0,92.0,0.04378662819607591,0.06845021227072765,2008-04-19 18:12:47,98.29174345738105,0.9802530146869187
B0005,9,10,4.055138987448823,0.960815286794583,26.7021703105932,0.9531161780673182,4.41871878393051,3553.5005667752444,24.0,,101.0,91.0,2008-04-04 02:48:06,3.5512057319376997,-1.8535899338510957,32.27679750791685,-1.8404957894736844,2.4496526315789473,1746.0239315789474,24.0,98.28309354731988,101.0,91.0,1.824613268496936,2008-04-04 05:48:08,24.0,,101.0,91.0,0.04490994541365791,0.07395687603254197,2008-04-19 19:55:05,98.28309354731991,1.0054007626261667
